record_id,date,crop_type,soil_type,area_sqm,current_moisture_pct,temperature_c,humidity_pct,rainfall_mm,wind_speed_kmh,days_since_last_irrigation,evapotranspiration_mm_day,crop_coefficient_kc,predicted_moisture_24h_pct,recommended_water_mm,irrigation_required,urgency,confidence,next_irrigation_hours,weather_condition,target_moisture_pct,water_saved_vs_fixed_ml
1,2025-01-01,Wheat,Clay,10249.93,49.15,19.04,68.85,12.19,15.37,9.28,0.5,0.7,45.01,3.99,0,low,0.83,72,Heavy Rain,50,115.93
2,2025-01-01,Wheat,Clay,18993.57,58.93,8.12,53.31,7.81,11.64,1.56,0.5,0.96,59.63,0,0,low,0.74,72,Light Rain,50,374.55
3,2025-01-01,Wheat,Peat Mix,15364.41,19.68,15.82,57.63,0,21.12,9.25,0.5,0.94,12.04,30.37,1,critical,0.76,0,Sunny,50,163.32
4,2025-01-01,Wheat,Clay,13657.16,58.27,16.03,78.99,0,23.27,8.84,0.5,0.94,51.59,0,0,low,0.7,72,Clear,50,358.91
5,2025-01-01,Tomato,Loamy,6258.31,25.99,16.42,83.9,19.32,4.11,7.26,0.5,0.95,25.52,31.58,1,high,0.74,0,Heavy Rain,65,69.15
6,2025-01-01,Tomato,Clay Loam,19728.94,68.56,20.05,86.36,0,18.43,7.05,0.5,1.05,63.2,1.44,0,low,0.79,72,Sunny,65,540.97
7,2025-01-01,Tomato,Sandy Loam,9215.9,49.83,19.37,57.55,0,18.09,5.57,0.5,0.99,44.89,16.09,0,medium,0.71,72,Partly Cloudy,65,95.38
8,2025-01-01,Tomato,Clay Loam,13128.19,69.45,14.48,68.03,0,22.23,3.17,0.5,1.02,66.96,0,0,low,0.73,72,Sunny,65,229.74
9,2025-01-01,Tomato,Peat Mix,4879.38,59.78,18.81,51.15,21.43,4.81,3.36,0.5,0.94,61.87,2.5,0,low,0.78,72,Heavy Rain,65,123.99
10,2025-01-01,Corn,Sandy Loam,13996.64,69.82,8.77,79.1,12.92,5.25,2.49,0.5,0.83,71.96,0,0,low,0.81,72,Heavy Rain,55,328.36
11,2025-01-01,Corn,Sandy,6568.42,26.73,9.8,42.23,0,2.83,5.01,0.5,0.89,22.39,26.09,1,high,0.78,0,Overcast,55,59.97
12,2025-01-01,Corn,Clay,7574.98,44.68,19.13,81.01,0,3,0,0.5,0.89,45.04,7.97,0,low,0.75,72,Sunny,55,98.32
